N°,APELLIDOS Y NOMBRES,Código modular (SIAGE),fecha de registro,hora de inicio,hora de fin,Matrícula pendiente,Pensiones pendientes
1,"BERNUY JULCA, Aimee Valentina",10799450091232,,,,Sí,2
2,"CARRILLO HUAYANAY, Renata Tharya",10799450092345,,,,No,0
3,"CHAVEZ RODRIGUEZ, Austin Antoine",10799450093458,,,,Sí,1
4,"CONDOR CASTRO, Mathias Leonel",10799450094571,,,,No,0
5,"ESTRADA VALLE, Mathias Sebastian",10799450095684,,,,No,3
6,"FALCON MUÑOZ, Fabián André",10799450096797,,,,Sí,0
7,"FLORIANO MALQUE, Nya Valeska",10799450097910,,,,No,0
8,"GOMEZ TORRES, Matias Ametz Alain",10799450099023,,,,No,1
9,"GONZALEZ ZAVALETA, Juliette Dalila",10799450100136,,,,Sí,2
10,"HERNANDEZ BORDA, Victor Leandro",10799450101249,,,,No,0
11,"HUAMAN LADERA, Daniel",10799450102362,,,,No,0
12,"JIMENEZ GARCIA, Neymar Junior",10799450103475,,,,Sí,1
13,"LEYVA CHANG, Emir Alessio",10799450104588,,,,No,0
14,"MENDEZ DIAZ, Valeska Sofía",10799450105701,,,,No,0
15,"NUÑEZ JIMENEZ, Pablo Enrique",10799450106814,,,,No,0
16,"OCROSPOMA MONTALVO, Yariela",10799450107927,,,,No,0
17,"SOSA PÉREZ, Khaleesi Zharick",10799450109040,,,,Sí,3
18,"TORRES BERROCAL, Felipe Matthew",10799450110153,,,,No,0
19,"URDANIVIA MARCOS, Alessia Khalesy",10799450111266,,,,No,0
20,"VELA QUIRITA, Josué Damir",10799450112379,,,,No,0
21,"VILLAJUAN ALCANTARA, Luciana Eliette",10799450113492,,,,No,0
